,accurate_pass,corners,fouls,goals,possession,red_card,result,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
86,325,3,16,2,45.2,0,2,4,0,409,27,0
87,616,4,5,5,60.1,0,2,5,2,685,26,0
88,527,3,10,1,57.6,0,2,6,1,620,9,3
89,270,2,9,3,39.3,0,2,5,1,364,18,3
90,267,3,8,1,37.6,0,1,4,3,386,23,1
91,296,3,13,2,45.9,0,2,3,3,386,23,2
92,400,5,13,3,44.4,0,2,7,1,474,12,1
93,326,10,14,3,41.7,0,2,5,4,410,19,1
94,488,3,6,1,66.9,0,2,8,2,577,14,2
95,429,6,8,0,54.5,0,0,6,4,526,19,2
96,401,8,12,4,59.6,0,2,8,2,473,12,3
97,543,5,9,3,64.8,0,2,2,1,640,6,0
98,615,1,11,1,71.7,0,1,5,0,729,14,2
99,536,5,10,1,66.1,0,2,10,3,619,16,2
100,636,8,11,3,65.6,0,2,6,1,734,11,1
101,469,9,12,2,52.8,0,2,1,1,559,10,1
102,322,3,15,1,46.5,0,2,3,2,418,23,3
103,381,8,7,4,47.1,0,2,7,4,456,32,2
104,528,9,12,1,72.9,0,0,5,4,608,20,3
105,307,2,10,2,39.3,0,2,3,1,399,17,1
106,457,4,11,3,48.9,0,2,7,1,524,19,3
107,439,11,11,2,63.8,0,2,5,2,522,23,2
108,445,4,8,2,48.2,0,2,3,1,530,15,1
109,500,8,8,1,67.6,0,2,10,1,571,7,0
110,388,6,13,4,47.8,0,2,5,0,477,15,2
111,340,4,11,3,50.5,0,2,3,1,426,12,4
112,379,3,20,0,53.8,0,0,4,1,479,23,3
113,531,8,8,3,57.1,0,2,11,0,619,14,0
114,426,6,14,0,55.4,0,1,4,5,508,13,2
115,517,8,5,0,65.7,0,0,8,4,618,16,1
116,518,12,8,2,62.3,0,2,9,2,593,17,1
117,462,3,5,4,58.3,0,2,1,0,535,13,0
118,195,4,21,2,32.3,0,2,4,0,280,31,3
119,486,2,10,0,58.1,0,0,3,2,569,18,1
120,434,9,8,2,59.6,0,2,5,3,521,20,0
121,616,13,8,2,67.2,0,2,10,2,696,12,0
122,416,5,11,0,50.6,1,1,3,4,532,13,2
123,500,6,12,2,56.7,0,2,4,0,583,14,2
124,486,8,11,3,57,0,2,6,1,583,21,0
125,303,2,9,0,28.8,0,0,3,1,392,11,1
126,592,7,5,5,58.5,0,2,7,3,653,9,1
127,377,6,13,4,52.5,0,2,5,6,462,22,2
128,348,8,11,2,41.7,0,1,10,3,422,18,2
129,459,8,6,1,57,0,0,6,6,559,23,1
130,475,4,12,1,55.7,0,0,4,6,552,22,2
131,529,4,12,4,61.4,0,2,2,1,610,14,3
132,466,0,14,4,55.9,0,2,3,1,547,26,2
133,253,3,12,1,31.6,0,2,6,2,354,15,3
134,647,11,8,3,65.6,0,2,8,2,743,17,0
135,497,2,9,1,48.9,0,2,5,3,571,12,1
136,707,3,4,3,64.2,0,2,4,10,769,10,0
137,311,4,8,0,38.1,0,0,2,8,395,19,0
138,569,7,4,0,67.8,0,1,9,4,679,19,0
139,586,3,10,0,69.4,0,0,8,2,683,24,1
140,504,10,7,1,59.5,0,1,11,2,594,14,0
141,420,7,14,3,58,0,2,4,2,518,11,3
142,518,15,10,1,61.1,0,2,7,0,608,22,1
143,384,5,4,1,48.7,0,0,7,4,494,27,0
144,370,4,16,1,54,0,2,6,0,471,14,1
145,722,10,7,1,77.9,0,1,6,2,831,13,0
146,411,8,7,1,46.5,0,1,5,5,497,23,0
147,446,8,16,2,61.9,2,0,6,2,521,10,3
148,422,2,8,1,55.4,1,0,2,1,512,16,2
149,514,2,11,2,60.8,0,2,5,1,609,8,0
150,569,5,5,1,58.3,0,2,7,5,653,16,0
151,467,8,8,1,53.6,0,2,8,3,545,13,1
152,640,9,13,2,76,0,2,5,0,730,26,2
153,448,3,18,2,54.2,0,1,9,0,527,15,4
154,613,10,5,1,68.3,0,1,5,3,690,18,1
155,367,0,11,2,45.3,0,1,9,2,462,31,3
156,737,5,9,3,70.9,0,2,4,2,815,14,3
157,544,15,7,1,68.6,0,1,3,3,618,17,3
158,412,11,12,1,61.4,0,0,8,1,490,19,2
159,441,3,9,2,57.1,0,2,8,0,539,31,3
160,425,2,10,0,53,0,0,6,0,505,25,3
161,542,18,5,3,67.6,0,2,10,2,630,10,0
162,382,10,16,1,51.9,0,0,3,0,462,16,5
163,381,9,14,4,51.3,0,2,8,3,467,26,2
164,616,10,9,2,65.8,0,1,6,0,698,21,2
165,416,4,10,1,51.6,0,2,6,1,507,10,1
166,445,9,7,1,58.6,0,2,7,2,539,24,0
167,275,3,5,2,35.3,0,2,4,0,360,22,3
168,249,6,14,2,36.5,0,1,3,1,345,25,3
169,195,8,13,2,42.2,0,2,8,1,294,25,3
170,420,7,6,5,48,0,2,3,3,508,16,0
171,448,6,6,2,55.9,1,2,6,3,539,15,1
172,473,7,7,0,58.5,0,0,4,1,557,14,1
173,427,9,11,3,53.8,0,2,7,4,496,22,0
174,374,9,14,2,57.5,1,0,5,3,453,14,2
175,400,6,7,4,48.6,0,2,4,4,479,24,1
176,605,5,11,3,67.7,0,2,6,1,685,17,0
177,491,6,17,0,57,0,1,6,0,568,16,4
178,576,7,6,4,63.7,0,2,4,1,637,15,1
179,489,8,10,3,67.9,0,2,5,3,590,16,1
180,340,4,7,2,49.1,0,2,1,4,441,32,0
181,717,5,6,0,75.1,0,1,13,0,798,12,1
182,324,5,8,1,42.6,0,1,2,2,414,17,0
183,691,6,7,0,67.9,0,0,6,1,762,16,0
184,571,6,7,1,68.2,0,2,6,2,688,15,0
185,321,8,12,2,47.2,0,2,7,2,398,27,2
186,270,3,12,1,44,0,0,3,3,386,20,5
187,264,1,14,2,47.1,0,2,5,3,365,21,3
188,474,6,13,2,57.1,0,2,3,1,564,15,2
189,407,6,8,2,56.8,0,2,4,2,520,20,1
190,481,5,12,0,61.8,0,0,7,3,556,12,1
191,478,6,12,2,59.2,0,2,6,2,564,27,1
192,539,5,12,4,59.6,0,2,7,0,609,14,0
193,453,9,7,2,51.4,0,2,4,1,530,18,2
194,547,6,6,1,63.4,0,1,5,2,626,10,1
195,386,6,10,0,55,0,1,1,0,495,11,0
196,385,4,7,3,45.8,0,2,7,1,461,16,0
197,440,5,7,2,54.2,0,2,3,5,522,18,0
198,439,13,11,0,66.7,0,1,6,0,535,23,2
199,618,3,7,3,72.5,0,2,4,1,712,20,1
200,385,6,14,0,46.6,1,0,7,1,466,17,1
201,271,3,7,3,40.5,0,1,5,5,378,20,0
202,344,7,12,1,54.9,0,1,5,1,458,35,0
203,578,11,9,2,72.1,0,2,12,5,671,17,4
204,398,7,10,1,51,0,2,10,2,468,19,2
205,487,4,9,0,64.8,0,0,3,1,571,11,0
206,590,5,10,1,73,0,0,7,1,684,13,2
207,300,4,5,2,37.3,0,2,3,3,386,20,0
208,393,3,8,2,49.3,0,2,2,6,487,19,1
209,564,7,2,0,65.7,0,1,9,5,667,23,1
210,550,7,8,0,70.2,0,1,5,4,659,6,4
211,273,2,10,2,42.8,0,1,2,3,383,26,1
212,593,7,8,1,68.6,0,2,6,3,697,17,1
213,712,9,8,1,73.7,0,2,6,2,777,21,1
214,544,13,6,2,67.6,0,2,9,3,628,18,1
215,280,5,11,0,37.1,2,0,4,3,360,21,2
216,456,5,12,5,58,0,2,2,2,532,21,1
217,313,3,8,3,37.8,0,2,5,2,389,29,1
218,551,9,12,3,66.7,0,2,5,4,627,17,1
219,449,7,11,2,56.2,0,2,9,0,527,20,2
220,457,3,15,2,61.1,0,0,5,1,543,14,3
221,360,5,10,2,45.7,0,2,4,3,449,20,0
222,295,2,10,2,48.2,1,1,2,1,414,25,2
223,536,7,8,1,62.6,0,0,7,3,621,28,0
224,641,2,14,2,71.4,0,2,6,3,723,12,0
225,681,8,7,4,69,0,2,4,1,773,13,1
226,481,4,8,3,60.7,0,1,3,1,566,18,0
227,651,10,7,1,71.7,0,1,8,2,737,16,0
228,386,5,13,3,50.7,0,0,3,4,485,22,3
229,369,4,10,3,49.5,1,2,3,0,438,18,2
230,450,7,7,0,60.5,0,1,4,2,555,20,2
231,411,2,15,3,54.7,0,2,2,2,490,22,1
232,498,6,10,2,56.7,0,2,7,0,588,13,2
233,741,4,12,4,60.7,0,2,6,2,801,17,2
234,438,9,9,3,49.5,0,2,5,5,529,18,0
235,604,8,6,0,74.9,0,1,3,5,706,9,1
236,637,6,3,1,67.2,0,2,8,0,741,16,0
237,428,5,7,3,48.7,1,2,7,9,514,17,0
238,505,8,13,4,65.8,0,2,12,1,591,18,3
239,298,7,11,1,45.7,0,1,9,7,423,23,1
240,434,4,11,1,54.5,0,1,3,0,552,23,3
241,382,3,12,3,51.5,0,2,7,1,466,24,3
242,731,6,12,1,75.6,0,2,8,0,813,15,3
243,384,2,11,5,49.5,0,2,6,2,483,17,3
244,472,13,8,1,58.3,0,0,2,3,561,25,1
245,463,7,9,3,64.4,0,2,7,3,539,14,0
246,541,8,9,2,64.1,0,2,5,2,637,25,1
247,389,3,12,2,49.1,0,2,8,4,483,21,3
248,507,2,8,4,56.8,0,2,2,0,605,17,0
249,469,7,12,3,60.4,0,1,5,3,571,17,3
250,420,3,10,1,58.5,0,0,6,2,530,19,1
251,502,10,12,2,69.8,1,2,7,2,578,11,1
252,288,1,13,1,39.4,0,0,5,1,388,15,2
253,410,5,5,2,53,0,2,3,1,504,16,2
254,503,9,12,1,73.5,0,0,8,2,598,20,3
255,306,3,8,2,44.4,0,1,5,5,405,24,3
256,313,3,15,1,47,0,0,2,3,405,15,2
257,529,8,10,0,72.2,0,0,6,2,628,20,1
258,596,5,11,3,65.8,0,2,7,2,680,18,2
259,521,6,7,4,66.8,0,2,3,2,607,16,2
260,598,12,9,1,68.9,0,2,6,8,692,10,2
261,659,5,6,1,76.7,0,0,4,1,752,10,0
262,314,5,15,0,48.8,0,0,4,5,405,21,3
263,454,5,14,2,50,0,2,1,2,524,19,1
264,492,4,16,2,64.8,0,2,4,0,584,19,2
265,476,17,15,2,62.5,0,2,10,2,543,9,4
266,701,5,9,2,72.9,0,2,8,2,805,16,0
267,386,6,12,1,59.6,1,0,4,1,477,18,2
268,425,6,11,0,45.8,0,0,2,0,538,24,1
269,591,4,6,5,63.6,0,2,5,0,662,12,0
270,464,10,14,3,58.4,0,2,4,4,583,16,0
271,438,3,9,0,51.4,0,0,6,5,539,13,4
272,824,3,8,1,74.3,0,0,4,3,894,11,3
273,642,5,6,4,63,0,2,1,3,727,19,0
274,411,1,15,0,49.4,0,1,5,2,520,19,3
275,516,7,14,5,67.6,0,2,8,1,616,12,1
276,649,7,13,1,71.3,0,2,11,1,761,17,2
277,639,9,11,0,77.1,0,0,6,3,731,15,0
278,515,10,11,2,58.3,0,1,3,2,599,16,3
279,281,7,11,2,42.1,0,2,4,8,399,18,4
280,358,0,7,1,40.8,0,0,4,1,438,28,1
281,607,7,9,0,70.1,0,1,8,0,704,17,0
282,516,11,12,1,68.1,0,0,2,0,614,10,3
283,369,5,15,1,41.8,0,0,3,3,450,16,6
284,716,7,10,5,70.3,0,2,8,2,813,19,0
285,442,5,10,1,53.9,0,0,3,0,552,18,0
286,597,8,11,3,64.6,1,2,4,1,699,11,2
287,612,6,7,2,65.2,0,2,8,2,697,15,0
288,562,12,11,1,75.1,0,0,6,4,656,18,3
289,549,6,9,3,69.6,0,2,8,3,647,16,1
290,552,8,11,4,67.7,0,2,8,1,629,4,3
291,380,7,9,3,53.5,0,1,3,3,503,18,1
292,531,5,14,1,63.7,0,2,9,3,636,11,0
293,414,4,7,1,55,0,2,3,2,519,11,0
294,664,5,10,1,67,0,1,4,1,758,13,2
295,468,4,8,5,58.4,0,2,3,1,553,22,2
296,590,5,9,1,71.8,0,0,8,2,695,25,0
297,409,5,10,1,59.4,0,0,5,4,550,20,2
298,413,2,9,0,50.1,0,0,3,6,509,12,1
299,538,9,9,4,70,0,2,9,5,632,23,0
300,553,4,7,3,65.2,0,2,3,3,654,21,1
301,537,7,8,2,69.1,0,2,6,0,615,15,1
302,544,6,9,1,65.3,0,1,5,2,647,12,3
303,417,4,12,3,59.7,0,2,4,5,502,21,2
304,514,2,8,2,56.1,0,2,5,2,601,16,1
305,441,7,7,1,47.1,0,0,4,1,508,17,1
306,283,3,11,3,39.6,0,2,8,1,370,28,4
307,659,7,9,0,74.7,0,0,10,3,741,12,2
308,385,5,11,1,62.1,0,0,3,0,468,18,1
309,354,8,8,1,46.4,0,1,7,2,418,27,2
310,496,2,8,0,64.5,0,0,2,7,583,29,3
311,464,3,10,1,63.7,0,0,9,1,527,10,2
312,448,5,9,1,58.4,0,0,1,6,524,16,2
313,352,2,15,3,56.5,0,2,7,2,454,26,3
314,384,5,12,2,54.1,0,2,5,3,452,16,2
315,448,14,12,0,65.9,0,1,6,1,535,21,3
316,342,5,11,1,47.7,0,2,7,0,444,21,0
317,445,6,11,1,52.6,0,2,10,0,508,26,4
318,333,7,14,0,45.3,0,0,4,2,416,18,3
319,370,5,11,2,51.5,0,2,5,5,465,21,1
320,391,6,8,4,43.5,0,2,7,2,473,21,1
321,512,10,6,2,63.5,1,1,13,0,610,32,0
322,345,4,10,3,53.4,0,2,3,6,435,29,2
323,395,4,13,2,58.8,0,1,9,2,481,22,2
324,401,2,5,1,52.4,0,2,2,4,529,27,1
325,378,5,12,0,53.2,0,1,6,1,457,24,1
326,572,4,11,0,73.2,0,1,9,1,673,10,0
327,402,4,11,1,52.2,0,1,8,3,468,18,3
328,498,7,10,0,68.8,0,0,1,0,591,28,0
329,479,5,16,1,53.7,0,2,8,0,566,27,3
330,421,5,9,1,51.4,1,0,9,3,509,25,0
331,582,6,8,2,63.1,0,2,7,0,677,9,0
332,371,9,9,2,62.1,0,2,10,3,475,24,2
333,306,2,14,1,41.7,1,0,4,0,407,13,2
334,502,4,10,1,66.3,0,0,10,1,586,20,2
335,456,6,8,2,61.8,0,2,5,3,550,23,2
336,315,5,13,3,49.4,0,2,5,1,406,16,3
337,421,9,4,1,54.5,0,0,5,1,514,20,2
338,374,3,8,2,48,0,2,5,3,481,24,1
339,455,5,12,2,66.1,0,2,9,1,542,26,1
340,473,6,7,0,54.4,0,1,4,2,552,20,1
341,273,1,14,2,40.3,0,2,1,2,377,18,3
342,378,5,16,1,53,0,2,1,2,478,19,4
343,403,6,11,1,54.9,0,2,11,1,492,24,1
344,516,5,14,1,67.4,0,1,3,0,612,23,1
345,576,7,4,2,71.3,0,1,7,3,692,16,1
346,390,9,8,0,64.4,0,0,9,3,501,18,1
347,376,9,9,0,64.9,0,0,4,10,500,19,0
348,438,12,7,0,63.9,0,0,5,2,566,30,1
349,337,4,16,1,57.7,0,2,7,0,465,16,3
350,423,9,9,3,59.5,0,1,6,4,535,21,2
351,265,5,13,4,41.6,0,2,2,5,390,32,3
352,529,4,7,2,70.4,0,1,11,1,642,17,0
353,391,7,11,1,64.8,0,2,12,5,517,18,2
354,540,6,9,6,60.7,0,2,1,1,635,24,1
355,447,7,10,0,60.2,0,0,7,2,574,26,1
356,332,3,14,5,52.1,0,2,2,4,445,22,1
357,408,14,7,1,63.8,0,0,9,1,499,28,1
358,366,5,6,0,53.3,0,0,10,3,491,36,0
359,435,8,12,1,53.7,0,2,3,0,534,24,3
360,250,8,13,0,34.3,0,1,4,4,351,25,4
361,479,8,10,2,66.1,0,2,8,2,563,22,1
362,483,5,8,2,67,0,1,3,3,609,24,1
363,454,7,13,1,52.4,1,0,3,0,533,20,2
364,463,5,17,0,62.7,1,0,7,1,543,12,3
365,342,4,11,1,44.3,0,0,4,2,446,23,2
366,480,6,4,1,58.9,0,1,7,3,579,19,1
367,505,11,8,3,62.4,0,2,2,3,570,28,0
368,298,11,19,1,49.1,0,1,5,0,372,27,3
369,332,6,11,0,51.5,0,1,4,5,441,29,2
370,484,10,8,1,60.3,0,1,8,4,586,23,1
371,468,7,21,3,57.4,0,2,5,2,568,27,4
372,513,9,8,4,66.6,0,2,14,2,595,19,1
373,467,6,16,2,61.5,1,2,6,2,564,23,2
374,256,12,11,1,42.2,0,1,2,0,367,29,2
375,385,5,13,2,50.8,0,0,3,2,485,11,3
376,396,6,14,4,52.9,0,2,4,1,485,18,0
377,470,7,11,1,55.3,0,1,10,1,546,25,3
378,359,3,14,3,49.6,0,2,3,4,468,34,0
379,398,4,9,2,48.7,0,2,9,3,492,21,0
380,380,4,17,4,49.3,0,2,3,3,479,21,3
381,670,3,13,3,73.8,0,2,9,1,752,14,0
382,423,11,12,2,63.9,0,2,2,3,558,6,2
383,325,5,17,1,50.7,0,1,4,6,433,20,5
384,490,1,4,4,62.1,0,2,2,3,605,16,1
385,416,4,13,2,47.3,0,2,2,2,497,20,1
386,698,13,8,5,74.2,0,2,9,0,763,17,1
387,509,3,14,0,64.6,0,1,3,2,627,22,0
388,561,3,9,2,67.5,0,2,7,3,662,16,1
389,495,10,9,2,59.4,0,2,3,2,595,18,2
390,399,3,5,4,55.3,0,2,5,1,518,23,2
391,446,6,14,6,59.6,0,2,9,1,563,19,1
392,608,9,5,2,77.3,0,2,13,0,702,19,1
393,474,9,17,3,60.2,0,0,5,1,563,19,2
394,537,8,11,0,64.6,0,1,8,2,661,22,1
395,507,3,13,1,62.4,0,1,2,5,638,15,2
396,515,8,9,4,63.8,0,2,6,0,625,26,0
397,526,15,12,0,72.2,0,0,6,1,636,13,1
398,605,5,10,2,70.7,0,1,3,3,698,9,3
399,516,11,7,2,67.1,0,1,7,5,611,10,2
400,306,4,12,1,43,0,2,3,2,437,23,2
401,279,7,13,1,44.1,0,1,2,2,389,28,3
402,598,2,14,3,62.9,0,2,4,4,679,19,0
403,299,10,14,2,50.9,0,2,4,2,425,17,3
404,683,6,7,2,73.6,0,0,7,2,785,30,1
405,500,6,9,1,67.7,0,2,5,1,607,20,1
406,526,12,5,1,69.3,0,0,5,2,620,20,0
407,368,2,17,3,51.4,0,2,1,1,472,23,1
408,343,9,8,3,53,0,2,5,5,456,16,1
409,494,7,11,2,66.1,0,1,9,2,588,22,1
410,299,8,7,1,40.5,0,1,5,2,383,29,3
411,380,8,11,2,55.7,0,2,6,2,486,23,2
412,765,12,5,0,80.4,0,0,13,0,848,18,1
413,515,6,10,4,66.7,0,2,14,3,594,16,0
414,520,4,8,1,72.3,0,0,7,0,626,23,1
415,428,5,9,1,60,0,2,2,0,537,12,1
416,499,3,9,0,64.9,0,1,4,1,599,13,1
417,464,4,9,1,63.7,0,2,9,2,566,21,1
418,809,4,8,3,74.7,0,2,3,2,913,13,0
419,530,4,5,5,55,0,2,7,3,601,20,0
420,550,6,8,2,67.8,0,2,4,1,660,16,2
421,352,6,14,3,56.7,0,2,9,1,486,14,3
422,576,3,10,4,56,0,2,12,4,655,12,1
423,288,3,9,0,33.9,1,0,2,2,372,15,2
424,581,12,7,1,71.3,0,1,14,1,676,6,1
425,352,3,8,3,54.4,0,1,8,1,477,20,3
426,456,7,7,2,60.6,0,2,7,4,566,15,3
427,545,5,8,1,63.8,0,0,1,2,629,26,1
428,411,4,6,4,48.6,0,2,5,3,507,19,2
429,277,5,10,4,35.7,0,2,4,3,367,33,2
430,483,13,16,1,67.9,0,0,5,0,584,13,1
431,525,9,7,0,71.9,0,1,8,2,632,6,1
432,583,2,7,5,57.2,0,2,4,2,662,17,0
433,668,1,9,0,68.4,0,0,5,0,763,12,2
434,472,10,15,3,61.1,0,2,6,2,562,11,1
435,611,5,16,0,70.2,0,1,3,1,711,20,1
436,660,9,10,3,73.4,0,2,6,0,766,14,0
437,609,8,7,4,68.3,0,2,7,1,712,27,0
438,515,5,6,1,67.8,0,1,9,2,613,16,1
439,644,12,8,1,79.4,0,1,12,1,736,13,1
440,381,3,13,4,52,0,2,7,1,488,20,0
441,472,2,7,0,61.9,0,1,4,1,588,12,0
442,334,8,11,3,46.5,0,1,5,1,436,21,0
443,535,7,9,3,61.8,0,2,10,4,619,26,1
444,445,10,10,3,60.1,0,2,3,2,548,14,5
445,658,7,3,4,72.3,0,2,5,1,737,10,0
446,492,4,5,2,61.6,0,1,4,2,584,11,1
447,500,7,7,0,62.2,0,1,8,3,580,17,0
448,504,7,10,1,53.5,0,1,3,0,587,19,0
449,204,3,15,2,34.1,0,1,4,2,302,17,3
450,662,9,9,0,71.8,0,0,11,1,756,15,2
451,603,4,12,1,72.4,0,2,5,2,712,24,1
452,658,8,7,2,70.9,0,2,3,4,772,26,0
453,410,9,12,2,57.9,0,2,7,2,511,14,0
454,399,1,8,2,47.8,0,2,8,0,510,14,2
455,476,6,5,5,58,0,2,1,6,581,18,1
456,482,4,14,1,59.6,0,0,5,1,558,13,2
457,480,4,15,1,55.3,0,1,4,1,544,23,2
458,451,6,14,0,64,0,1,3,1,553,21,2
459,754,3,11,4,68.5,0,2,7,0,825,18,1
460,446,4,9,3,57.2,1,0,7,4,528,18,1
461,425,7,10,2,57.4,1,2,3,2,504,20,1
462,360,4,9,0,48,1,0,5,3,456,24,1
463,230,5,8,2,38.6,0,2,6,4,317,27,1
464,592,11,8,1,71.4,0,2,7,0,667,16,1
465,485,11,8,2,62.7,0,1,8,1,574,19,2
466,375,11,18,2,48.7,0,2,8,1,441,15,4
467,375,4,13,1,51.7,0,1,10,0,439,16,3
468,506,4,16,3,61.9,0,2,4,4,570,18,1
469,744,7,12,3,76.4,0,2,4,5,807,14,2
470,468,3,9,0,60.5,0,0,8,2,568,18,2
471,417,2,13,3,54.7,0,2,3,1,514,35,4
472,528,9,10,1,64.7,0,1,3,2,588,10,1
473,461,3,10,2,61.7,0,2,2,2,595,19,2
474,562,3,8,2,64,0,2,5,1,631,18,2
475,281,6,19,0,51.6,0,1,2,6,397,27,4
476,426,7,12,1,65.9,0,1,4,2,506,12,0
477,384,1,9,2,48.1,0,2,1,1,478,27,1
478,421,4,12,3,51.6,0,2,5,5,508,32,1
479,442,1,9,4,58.6,0,2,1,3,546,15,0
480,396,6,12,2,62.5,0,2,4,1,477,26,1
481,484,1,14,1,67.6,0,2,5,6,554,15,2
482,647,9,10,0,79.7,0,0,5,3,720,15,1
483,464,3,17,2,58.3,0,2,0,3,569,28,2
484,668,10,15,3,76.4,0,2,9,0,736,16,0
485,497,7,10,0,65.1,0,0,3,2,576,14,2
486,607,7,11,0,70.4,0,0,8,3,664,21,1
487,459,5,16,1,57.4,0,1,3,8,560,37,1
488,424,1,15,0,59.1,1,1,3,0,525,17,2
489,556,13,6,2,73.4,0,2,11,1,625,16,1
490,599,4,8,3,71.4,0,2,4,3,679,14,0
491,317,9,13,1,58.8,1,1,6,2,414,20,2
492,419,5,15,3,57.3,0,2,3,2,511,15,4
493,508,10,15,1,64,0,0,9,1,585,10,4
494,401,1,12,1,50,0,2,4,1,487,21,2
495,458,5,10,1,54.4,0,2,4,3,534,24,2
496,612,7,9,3,66.3,0,2,3,4,677,17,1
497,389,7,12,1,56.5,0,0,3,2,474,23,1
498,549,5,16,0,66.8,0,1,5,2,617,21,4
